Date,T,SOHU,DIS,OMC,NYT,LEE,MCS,IPG,DLX,TDS,VZ,USM,SCHL,SGA,EMMS,SIRI,SBGI,RCI,GTN,SSP,TTWO,SALM,RDI,BBGI,EVC,SHEN,IDT,NFLX,CMCSA,NXST,MCHX
2005-01-03,4.649184703826904,17.329999923706055,22.435102462768555,25.48486328125,31.589763641357422,382.65130615234375,10.9387788772583,8.688364028930664,17.061485290527344,26.252164840698242,16.03524398803711,39.18012237548828,29.488754272460938,37.41629409790039,48.729637145996094,74.372802734375,4.443967342376709,7.6749653816223145,11.798673629760742,8.422860145568848,23.585208892822266,13.902192115783691,8.1899995803833,12.034926414489746,5.468259811401367,2.47993540763855,14.026751518249512,1.7028570175170898,8.533808708190918,7.663228988647461,16.35911750793457
2005-01-04,4.600132465362549,16.959999084472656,22.19342803955078,25.469812393188477,31.45667266845703,379.7982177734375,10.760773658752441,8.53333568572998,17.019933700561523,26.245332717895508,15.872869491577148,39.88344192504883,29.13558578491211,37.43863296508789,48.26726150512695,74.67108154296875,4.283516883850098,7.494271755218506,11.332828521728516,8.435224533081055,22.598604202270508,13.570133209228516,7.949999809265137,11.939516067504883,5.38281774520874,2.4217329025268555,13.659077644348145,1.6657140254974365,8.315728187561035,7.646218299865723,15.181618690490723
2005-01-05,4.62193489074707,16.670000076293945,22.07259750366211,25.34930992126465,31.55062484741211,376.2737731933594,10.591659545898438,8.520411491394043,17.0522518157959,26.494735717773438,15.849112510681152,39.900596618652344,28.22058868408203,37.572654724121094,47.49662399291992,75.96366119384766,4.307827472686768,7.633496284484863,11.244479179382324,8.43875503540039,22.398616790771484,13.227005958557129,8.0,11.769147872924805,5.093629837036133,2.280022144317627,13.383326530456543,1.600000023841858,8.39361572265625,7.518640995025635,15.107559204101562
2005-01-06,4.647368907928467,16.290000915527344,22.10481834411621,25.581270217895508,31.668052673339844,377.532470703125,10.235636711120605,8.546252250671387,17.176923751831055,26.89446258544922,15.815114974975586,40.518150329589844,28.332962036132812,37.97474670410156,47.90763473510742,74.57166290283203,4.332138538360596,7.630532264709473,11.204323768615723,8.523530006408691,21.931978225708008,13.531392097473145,7.940000057220459,11.4692964553833,5.238224506378174,2.3297901153564453,13.254636764526367,1.5785709619522095,8.380631446838379,7.5016326904296875,15.100156784057617
2005-01-07,4.634435176849365,16.079999923706055,21.887317657470703,25.6264591217041,31.738508224487305,373.6723937988281,10.240086555480957,8.501031875610352,17.126134872436523,28.103900909423828,15.759138107299805,42.37080001831055,27.73098373413086,37.505645751953125,46.263614654541016,70.59449005126953,4.239758491516113,7.660158634185791,11.25251293182373,8.548257827758789,21.498672485351562,13.271278381347656,7.940000057220459,11.455665588378906,5.172499656677246,2.2758054733276367,13.070801734924316,1.5885709524154663,8.455924034118652,7.45059871673584,15.174210548400879
2005-01-10,4.60117244720459,15.930000305175781,21.97593116760254,25.656570434570312,31.675888061523438,372.58148193359375,10.560504913330078,8.520411491394043,16.862943649291992,28.667621612548828,15.607186317443848,40.65538024902344,27.835325241088867,37.97474670410156,46.16086196899414,65.8219223022461,4.244620323181152,7.7253265380859375,11.597879409790039,8.572985649108887,21.87198257446289,13.072044372558594,7.909999847412109,11.37389087677002,5.2579426765441895,2.302797794342041,13.006458282470703,1.6100000143051147,8.627277374267578,7.484620094299316,15.396379470825195
2005-01-11,4.554976463317871,15.539999961853027,21.919544219970703,25.623445510864258,31.581933975219727,373.2528381347656,10.556055068969727,8.391215324401855,16.95066261291504,28.462627410888672,15.435240745544434,40.578189849853516,27.650718688964844,37.48330307006836,45.595733642578125,60.65160369873047,4.06958532333374,7.683848857879639,11.26054573059082,8.572985649108887,22.105300903320312,13.00009822845459,8.0,11.34663200378418,5.185644149780273,2.261465549468994,12.960494041442871,1.5728570222854614,8.624677658081055,7.52714729309082,14.559541702270508
2005-01-12,4.584542274475098,16.049999237060547,22.33038330078125,25.921669006347656,31.472341537475586,372.1619873046875,10.32909870147705,8.39767837524414,17.079954147338867,28.54119873046875,15.287286758422852,40.543880462646484,27.634660720825195,37.08122253417969,45.51866912841797,62.34189987182617,3.9966516494750977,7.867504596710205,11.381021499633789,8.594179153442383,22.111967086791992,12.933685302734375,7.949999809265137,11.223966598510742,5.11334753036499,2.1965150833129883,12.997267723083496,1.535714030265808,8.619483947753906,7.561166763305664,13.841191291809082
2005-01-13,4.5143232345581055,15.699999809265137,22.354549407958984,25.864425659179688,30.97911834716797,370.0640869140625,10.306842803955078,8.333080291748047,16.93219757080078,28.510448455810547,14.83542251586914,40.569610595703125,27.23335075378418,36.701473236083984,45.54436111450195,64.23104858398438,4.04041051864624,7.754944801330566,11.292672157287598,8.565919876098633,22.24529457092285,12.690176963806152,7.989999771118164,11.367077827453613,5.172499656677246,2.183018445968628,12.988077163696289,1.551429033279419,8.60909652709961,7.365546226501465,13.8634033203125
2005-01-14,4.510629177093506,15.90999984741211,22.797607421875,26.102418899536133,31.135679244995117,368.805419921875,10.467052459716797,8.300780296325684,17.001455307006836,28.568523406982422,14.731456756591797,40.398067474365234,27.682828903198242,36.99187469482422,45.698486328125,64.13162994384766,4.10361909866333,7.571289539337158,11.469369888305664,8.523530006408691,23.22523307800293,12.906017303466797,8.050000190734863,11.196707725524902,5.251369476318359,2.183018445968628,13.070801734924316,1.6185710430145264,8.715543746948242,7.357041835784912,13.900430679321289
