Date,AMWD,BC,CRMT,AIN,PVH,FL,GT,BSET,CCK,CACH,GCO,IP,CASY,EAT,WHR,F,GAP,CBRL,ESCA,OXM,ROL,WEYS,GNTX,SKY,SMP,MAT,TJX,HVT,WWW,MCD,VFC,AVY,IGT,GPC,LZB,HRB,DDS,WGO,SUP,LEN,HAS,PHM,NKE,JWN,GPS,LEG,LOW,WEN,HOV,MYE,HD,KBH,TOL,SON,PII,MTH,ODP,THO,AN,AZO,LCUT,RGS,MNRO,OI,MHK,BKE,KSS,DHI,SBUX,CAKE,SCVL,CHDN,FOSL,ORLY,PZZA,BWA,MOV,CAL,DECK,BYD,NVR,URBN,MHO,SHOO,BZH,TSCO,SYPR,PENN,STRT,DRI,WSM,GEF,TUP,JAKK,RUSHB,GES,ANF,HIBB,LAD,SLGN,MTN,ALV,AMZN,RL,YUM,PLCE,GPI,SRI,SAH,COLM,MAR,BBY,SEE,HZO,EBAY,AXL,SKX,DSS,FLWS,PKG,WW,MPX,AAP,GME,ABG,BGFV,KIRK,RRGB,KMX,WYNN,DKS,GPK,CRI,CONN,TPX,ROST
2005-01-03,39.898128509521484,37.52289581298828,24.780000686645508,24.502471923828125,25.974287033081055,15.039708137512207,13.271088600158691,7.4712066650390625,13.41642951965332,15.229714393615723,30.329999923706055,18.899206161499023,15.003761291503906,15.802078247070312,38.444156646728516,7.658964157104492,12.47445297241211,20.723609924316406,6.708366870880127,27.080657958984375,1.7282391786575317,12.20259952545166,5.775289535522461,31.040990829467773,9.663796424865723,11.369685173034668,4.801054954528809,7.546200752258301,7.896211624145508,18.519611358642578,7.428954124450684,36.28154754638672,20.142578125,23.725811004638672,10.833118438720703,12.181794166564941,19.334959030151367,30.854753494262695,16.577903747558594,44.935970306396484,10.715164184570312,26.433691024780273,8.912978172302246,13.49824333190918,12.478050231933594,12.328518867492676,21.063491821289062,9.064093589782715,1211.25,7.706173896789551,28.62833595275879,40.528465270996094,32.14180374145508,16.335771560668945,21.684654235839844,55.91999816894531,150.686767578125,24.00779151916504,18.829999923706055,90.75,12.948590278625488,911.7554931640625,9.318391799926758,22.22835922241211,89.80000305175781,3.6045687198638916,33.561485290527344,23.02968978881836,12.670966148376465,27.71639060974121,3.680102586746216,5.333780765533447,25.229999542236328,22.545000076293945,7.661808013916016,9.582357406616211,13.769393920898438,9.60512638092041,2.5238890647888184,37.8824577331543,741.52001953125,21.924999237060547,53.99372482299805,2.21734619140625,235.07937622070312,8.170218467712402,12.522838592529297,6.267220497131348,50.48753356933594,15.138484001159668,8.438440322875977,15.787662506103516,11.482346534729004,203.2633819580078,4.657480239868164,3.4882097244262695,31.229402542114258,17.92364501953125,20.044633865356445,6.1577959060668945,17.94110870361328,22.963546752929688,2.2260000705718994,34.428104400634766,12.263378143310547,32.90845489501953,25.859573364257812,14.75,19.470335006713867,23.207008361816406,24.616235733032227,26.956382751464844,20.016754150390625,29.420000076293945,23.176490783691406,26.602943420410156,4.266666889190674,15710.306640625,8.390000343322754,13.109175682067871,36.80292510986328,10.521854400634766,26.93596839904785,0.529392421245575,12.518125534057617,15.027857780456543,11.855175018310547,50.619998931884766,15.100000381469727,36.172786712646484,13.87789249420166,6.233984470367432,14.759626388549805,14.8704252243042,5.144915580749512,5.905656337738037
2005-01-04,39.999053955078125,37.22932815551758,24.906667709350586,24.697114944458008,26.04117202758789,14.744922637939453,12.879192352294922,7.530097484588623,12.95412826538086,15.221253395080566,29.219999313354492,18.444841384887695,14.586989402770996,15.697937965393066,37.78163146972656,7.632930278778076,12.28409481048584,20.57123374938965,6.843258857727051,26.79092025756836,1.6956939697265625,12.433161735534668,5.683461666107178,30.479934692382812,9.657496452331543,11.381546020507812,4.783665657043457,7.441514015197754,7.873861789703369,18.670928955078125,7.366190433502197,35.778751373291016,20.106891632080078,23.50823211669922,10.739295959472656,12.034186363220215,18.931997299194336,30.005529403686523,16.40711212158203,42.87372589111328,10.687113761901855,25.434528350830078,8.7861909866333,13.271332740783691,12.287635803222656,12.324074745178223,20.623754501342773,9.099614143371582,1146.75,7.8620405197143555,28.263010025024414,38.67174530029297,31.252918243408203,15.643001556396484,21.13188362121582,54.875,147.35765075683594,23.491918563842773,18.950000762939453,89.69999694824219,12.752274513244629,899.41845703125,9.486193656921387,21.561901092529297,88.75,3.5875778198242188,32.4920539855957,22.011350631713867,12.662675857543945,27.227577209472656,3.640010118484497,5.076879024505615,24.56999969482422,22.469999313354492,7.526478290557861,9.394608497619629,13.930130958557129,9.46478271484375,2.522778034210205,36.711402893066406,720.0599975585938,21.655000686645508,52.425689697265625,2.2350754737854004,221.2188262939453,7.991546630859375,11.887921333312988,6.1504998207092285,50.439308166503906,15.099555015563965,8.220447540283203,15.758907318115234,11.277915000915527,200.31752014160156,4.715662956237793,3.884202003479004,31.883535385131836,17.105911254882812,19.47588348388672,6.134627342224121,17.90850067138672,22.709611892700195,2.1070001125335693,34.04922103881836,12.10097599029541,32.01458740234375,25.40839195251465,14.289999961853027,19.075122833251953,22.63135528564453,24.238370895385742,26.237913131713867,19.36071014404297,28.899999618530273,22.607791900634766,26.326942443847656,4.283332824707031,15598.8857421875,8.050000190734863,12.889558792114258,35.844749450683594,10.29321002960205,26.756603240966797,0.5237369537353516,12.509099960327148,14.253223419189453,11.175578117370605,49.779998779296875,14.989999771118164,36.09553146362305,13.543060302734375,6.112936496734619,14.746249198913574,14.879447937011719,5.130497455596924,5.92909049987793
2005-01-05,39.861446380615234,37.00529098510742,24.34666633605957,23.50767707824707,25.228883743286133,14.733585357666016,12.772311210632324,7.333796501159668,12.665185928344727,14.933581352233887,29.010000228881836,18.71026611328125,14.79537296295166,15.620966911315918,37.81502914428711,7.513177394866943,12.337632179260254,20.47980499267578,6.796567916870117,25.140085220336914,1.7010070085525513,12.216655731201172,5.727954864501953,29.60039710998535,9.28581428527832,11.20361614227295,4.764346122741699,7.371723651885986,7.7521891593933105,18.525426864624023,7.26659631729126,35.337257385253906,19.981956481933594,23.24715805053711,10.378432273864746,11.736454963684082,18.83844757080078,29.204845428466797,15.930388450622559,42.47252655029297,10.602964401245117,25.225505828857422,8.681034088134766,13.690239906311035,12.341190338134766,12.235118865966797,20.449312210083008,8.971748352050781,1137.75,7.924389839172363,28.003952026367188,38.48059844970703,31.063785552978516,15.503338813781738,20.89451789855957,53.79999923706055,145.5178680419922,22.519699096679688,19.0,90.29000091552734,12.809535026550293,817.8340454101562,9.325849533081055,20.98365020751953,87.80000305175781,3.588792085647583,32.75090026855469,21.53729820251465,12.766300201416016,26.747344970703125,3.65146541595459,4.89337682723999,24.5,22.44499969482422,7.463327884674072,9.242963790893555,13.578044891357422,9.461524963378906,2.4861109256744385,36.76716995239258,712.5,21.389999389648438,51.735347747802734,2.174794912338257,219.82794189453125,7.859198570251465,12.322338104248047,6.145242214202881,49.12908935546875,14.665754318237305,8.204041481018066,15.73301887512207,11.238158226013184,194.9009552001953,4.59098482131958,3.8958497047424316,32.01167297363281,16.740259170532227,19.560426712036133,5.886825084686279,17.65581703186035,22.728771209716797,2.0885000228881836,33.67859649658203,12.072171211242676,32.67129898071289,24.97391700744629,13.989999771118164,18.75250244140625,22.397871017456055,24.25411033630371,26.397058486938477,18.868675231933594,27.81999969482422,22.524520874023438,25.83726692199707,4.283332824707031,15487.46484375,8.069999694824219,12.73752498626709,35.348236083984375,10.052093505859375,26.806076049804688,0.5232452154159546,12.689606666564941,14.175766944885254,10.835780143737793,48.75,14.930000305175781,36.503883361816406,13.44063663482666,6.0783514976501465,14.585722923278809,14.500469207763672,5.041584491729736,5.877960205078125
2005-01-06,39.58622741699219,36.850765228271484,24.366666793823242,23.39234161376953,25.190656661987305,14.858292579650879,13.030606269836426,7.537949562072754,12.568875312805176,15.035112380981445,29.649999618530273,18.620288848876953,14.953747749328613,15.611910820007324,38.30498123168945,7.5235915184021,12.462559700012207,20.75408935546875,6.848446846008301,24.762746810913086,1.7122987508773804,12.230720520019531,5.655449390411377,29.19097137451172,9.15351390838623,11.197686195373535,4.7662787437438965,7.7119574546813965,7.655352592468262,18.670928955078125,7.27614688873291,35.76034927368164,19.83918571472168,23.301549911499023,10.104174613952637,11.956624031066895,18.9104061126709,29.63348960876465,15.675737380981445,42.953983306884766,10.61418342590332,25.840042114257812,8.670220375061035,13.870606422424316,12.46615219116211,12.43526554107666,20.51473045349121,9.056990623474121,1161.25,7.706173896789551,27.585491180419922,39.18663024902344,31.531875610351562,15.235177040100098,20.764448165893555,55.45000076293945,145.95591735839844,22.552776336669922,18.68000030517578,89.55000305175781,12.678656578063965,819.8237915039062,9.44144344329834,21.826522827148438,88.30000305175781,3.623988151550293,32.02885437011719,21.970394134521484,12.38082218170166,26.73876190185547,3.737382411956787,5.032838344573975,24.260000228881836,22.239999771118164,7.456561088562012,9.315173149108887,13.746438026428223,9.4778413772583,2.315000057220459,37.6594123840332,715.0,20.80500030517578,52.484867095947266,2.256350040435791,222.83616638183594,8.018016815185547,12.698275566101074,6.251448631286621,49.675689697265625,15.221907615661621,8.100909233093262,15.90847396850586,11.329021453857422,198.3219451904297,4.588213920593262,3.8579986095428467,33.79869842529297,16.919828414916992,19.598854064941406,5.880781650543213,17.769929885864258,22.680871963500977,2.052500009536743,33.79389190673828,12.208367347717285,34.12153625488281,25.007333755493164,13.760000228881836,18.63152313232422,22.140235900878906,24.482406616210938,25.237497329711914,18.909683227539062,28.450000762939453,21.565853118896484,26.05094337463379,4.323332786560059,15242.33984375,8.09000015258789,12.60800838470459,35.635684967041016,10.056249618530273,26.781347274780273,0.5200486183166504,12.79791259765625,14.186089515686035,10.49598217010498,48.560001373291016,14.829999923706055,37.982791900634766,13.342155456542969,6.026473045349121,14.7819242477417,14.825307846069336,5.0848388671875,6.065441608428955
2005-01-07,38.62294006347656,36.387245178222656,24.18000030517578,22.90935516357422,25.372228622436523,14.824283599853516,13.092955589294434,7.420167446136475,12.385876655578613,14.493611335754395,28.93000030517578,18.575302124023438,14.295244216918945,15.611910820007324,37.826141357421875,7.627722263336182,12.325740814208984,20.57123374938965,6.749873161315918,24.789703369140625,1.6870592832565308,12.194170951843262,5.492310523986816,28.96350860595703,8.914130210876465,11.132444381713867,4.743094444274902,7.550563812255859,7.511331558227539,18.5487060546875,7.284332275390625,36.048553466796875,19.74995231628418,23.14381217956543,10.017572402954102,11.688919067382812,18.924802780151367,29.11588478088379,15.37963581085205,43.22682571411133,10.434661865234375,25.668642044067383,8.619117736816406,13.920058250427246,12.329288482666016,12.355206489562988,20.591041564941406,9.099614143371582,1152.25,7.494195461273193,27.512435913085938,38.85117721557617,31.735185623168945,15.425122261047363,20.5270938873291,55.89500045776367,146.65679931640625,22.116268157958984,18.65999984741211,89.7300033569336,12.793171882629395,818.8286743164062,9.33703327178955,21.463891983032227,87.0999984741211,3.5754404067993164,31.878997802734375,21.92357063293457,12.366314888000488,26.7044620513916,3.7517013549804688,4.83220911026001,24.850000381469727,22.18000030517578,7.488137245178223,9.280874252319336,13.968393325805664,9.412564277648926,2.353332996368408,37.09245681762695,709.0,20.510000228881836,52.36652374267578,2.1818881034851074,221.89813232421875,7.821702003479004,12.572961807250977,6.289303779602051,48.759334564208984,15.778056144714355,7.971981525421143,15.523049354553223,11.329021453857422,191.95510864257812,4.308376789093018,3.817233085632324,33.3806037902832,17.05970573425293,19.429765701293945,5.818326950073242,17.647661209106445,22.671283721923828,2.115999937057495,33.82684326171875,12.140266418457031,33.875267028808594,24.639707565307617,13.600000381469727,18.470205307006836,21.99935531616211,24.44697380065918,25.082902908325195,19.006595611572266,28.479999542236328,21.647096633911133,25.863971710205078,4.3333330154418945,15242.33984375,7.989999771118164,12.61927318572998,35.984127044677734,9.744461059570312,26.626720428466797,0.4807069003582001,12.924264907836914,13.850419044494629,10.429910659790039,48.130001068115234,14.9399995803833,36.71910095214844,13.472153663635254,5.706559658050537,14.7819242477417,15.077960968017578,5.022359848022461,6.093139171600342
2005-01-10,42.63201141357422,37.20615005493164,24.100000381469727,23.687891006469727,25.39134979248047,14.73925495147705,12.994979858398438,7.498688220977783,12.59776782989502,14.476690292358398,29.0,18.656282424926758,14.486967086791992,15.616439819335938,38.67799377441406,7.575655460357666,12.438766479492188,20.454410552978516,6.6046037673950195,24.729055404663086,1.7202694416046143,12.5203218460083,5.424748420715332,29.380523681640625,8.926729202270508,11.20361614227295,4.795256614685059,7.677061557769775,7.600725173950195,18.43230628967285,7.370287895202637,35.558006286621094,19.494157791137695,23.3668270111084,10.068087577819824,11.633880615234375,19.16945457458496,29.31808090209961,15.3737154006958,44.13355255126953,10.4627103805542,26.580001831054688,8.704619407653809,14.027693748474121,12.442350387573242,12.448601722717285,21.019868850708008,9.035677909851074,1219.0,7.837103366851807,27.764833450317383,40.177406311035156,33.082698822021484,15.37484359741211,20.741689682006836,59.88999938964844,145.69309997558594,22.810707092285156,18.559999465942383,90.73999786376953,12.752274513244629,811.0685424804688,9.228900909423828,21.591304779052734,88.0999984741211,3.622774362564087,32.19914245605469,22.778034210205078,11.984986305236816,26.67873764038086,3.7201995849609375,4.9019389152526855,25.510000228881836,22.600000381469727,7.427238941192627,9.2844877243042,13.930130958557129,9.34729290008545,2.1977779865264893,36.94376754760742,735.2000122070312,20.399999618530273,53.66828536987305,2.233893394470215,227.51025390625,7.951842308044434,13.007376670837402,6.216747283935547,48.22880935668945,15.705758094787598,8.154818534851074,15.560441970825195,11.357414245605469,196.801513671875,4.402578830718994,3.8987619876861572,33.4412956237793,17.11920738220215,19.890913009643555,5.892867565155029,17.566144943237305,22.738357543945312,2.0920000076293945,33.769195556640625,12.142887115478516,34.386051177978516,24.790103912353516,14.010000228881836,18.349224090576172,22.373720169067383,24.34070587158203,25.442129135131836,19.28243064880371,28.690000534057617,21.795368194580078,25.320877075195312,4.300000190734863,15821.7265625,7.75,12.771306037902832,36.1844596862793,9.93569564819336,26.71949005126953,0.47701868414878845,12.996466636657715,13.876239776611328,10.382716178894043,48.849998474121094,14.914999961853027,36.86257553100586,13.27125072479248,5.90542459487915,14.897860527038574,15.041868209838867,5.156930446624756,6.103789329528809
2005-01-11,41.68708801269531,36.54948043823242,23.82666778564453,23.226539611816406,25.219329833984375,14.750589370727539,12.96825885772705,7.318092346191406,12.617029190063477,14.290549278259277,28.950000762939453,18.444841384887695,14.111870765686035,15.598329544067383,39.3071174621582,7.513177394866943,12.391176223754883,20.230926513671875,6.563097953796387,24.97836685180664,1.6697899103164673,12.441596031188965,5.43298864364624,29.304706573486328,8.72513198852539,11.197686195373535,4.762413501739502,7.633440017700195,7.543612003326416,18.100568771362305,7.33890438079834,35.25756072998047,19.690465927124023,23.24715805053711,9.923748970031738,11.591344833374023,18.888816833496094,28.816640853881836,15.456625938415527,44.06132507324219,10.473936080932617,26.35843276977539,8.663341522216797,14.042243957519531,12.394742012023926,12.421919822692871,20.92538833618164,9.056990623474121,1210.5,7.731111526489258,27.705047607421875,40.528465270996094,33.007057189941406,15.413957595825195,20.80997085571289,59.709999084472656,148.93460083007812,22.678434371948242,18.600000381469727,90.41000366210938,12.825895309448242,825.1966552734375,9.083475112915039,21.51289939880371,87.62000274658203,3.6288411617279053,32.09015655517578,22.766326904296875,11.893797874450684,26.987459182739258,3.7230613231658936,4.916619300842285,25.84000015258789,22.81999969482422,7.314465522766113,9.279071807861328,13.822972297668457,9.31792163848877,2.2055559158325195,36.69282531738281,746.5,20.15999984741211,53.747188568115234,2.1830689907073975,227.83370971679688,7.943017959594727,10.801886558532715,6.256706237792969,48.22880935668945,15.68907356262207,8.035273551940918,15.606466293334961,11.38012981414795,195.94627380371094,4.4718451499938965,3.8609089851379395,33.74475860595703,17.252239227294922,19.48357391357422,5.799186706542969,17.73732566833496,22.700031280517578,2.0820000171661377,33.67034912109375,12.182177543640137,33.95735549926758,24.731616973876953,13.899999618530273,18.38954734802246,22.796396255493164,24.010080337524414,25.551265716552734,18.816492080688477,28.18000030517578,21.293691635131836,24.991453170776367,4.3333330154418945,15821.7265625,7.630000114440918,12.613635063171387,36.5938720703125,9.723674774169922,26.880300521850586,0.47087159752845764,13.041594505310059,14.072477340698242,10.033479690551758,47.81999969482422,14.920000076293945,36.81842803955078,13.255495071411133,5.879485607147217,15.138652801513672,15.14112377166748,5.132900238037109,6.122962951660156
2005-01-12,40.641239166259766,36.603572845458984,23.786666870117188,22.959815979003906,25.725812911987305,14.84439468383789,12.923727989196777,7.341650009155273,12.49182415008545,13.664438247680664,28.600000381469727,18.62478256225586,14.170219421386719,15.349295616149902,39.44632339477539,7.455904960632324,12.47445297241211,20.332807540893555,6.537156581878662,24.756011962890625,1.7003424167633057,12.421911239624023,5.462648391723633,29.5700740814209,8.492044448852539,11.31037425994873,4.8029866218566895,7.781747341156006,7.660318374633789,18.240243911743164,7.363462448120117,35.40470504760742,19.6309757232666,23.323312759399414,9.995923042297363,12.001660346984863,19.025541305541992,28.743846893310547,15.391477584838867,44.21379470825195,10.692727088928223,26.212116241455078,8.706582069396973,13.98405933380127,12.478050231933594,12.301834106445312,20.867204666137695,8.993057250976562,1202.5,7.681232452392578,28.03053092956543,40.36854553222656,32.964500427246094,15.268695831298828,20.855499267578125,59.75,149.3726806640625,22.77102279663086,18.8799991607666,90.41000366210938,12.850428581237793,840.5183715820312,8.960424423217773,21.189468383789062,87.5199966430664,3.627624988555908,32.57378005981445,22.678550720214844,11.817117691040039,26.893125534057617,3.6715126037597656,4.945981025695801,25.6200008392334,23.010000228881836,7.3347649574279785,9.369332313537598,13.853652954101562,9.458259582519531,2.196666955947876,36.37681579589844,752.5,20.09000015258789,53.70772933959961,2.160611867904663,225.31069946289062,8.05551528930664,9.949766159057617,6.245139122009277,48.469966888427734,16.07282066345215,7.925105571746826,15.37636947631836,11.38012981414795,208.5848846435547,4.4690752029418945,3.7677338123321533,33.481754302978516,17.218931198120117,19.714149475097656,5.9200663566589355,17.65581703186035,22.685659408569336,2.115000009536743,33.75271224975586,12.085062980651855,34.11241149902344,24.94050407409668,13.859999656677246,18.591176986694336,22.36968994140625,24.06124496459961,25.787734985351562,18.768033981323242,28.68000030517578,21.783178329467773,24.89352035522461,4.340000152587891,15844.0107421875,7.590000152587891,12.771306037902832,37.98759841918945,9.628060340881348,26.781347274780273,0.4681667387485504,13.140872955322266,14.217079162597656,9.99572467803955,46.61000061035156,15.414999961853027,36.21693420410156,13.29488468170166,5.8708391189575195,15.071762084960938,14.80726146697998,5.051197052001953,6.09100866317749
2005-01-13,40.806365966796875,36.27910232543945,23.48666763305664,22.69308853149414,25.53468132019043,14.770482063293457,13.244367599487305,7.243497848510742,12.424403190612793,13.833657264709473,29.139999389648438,18.426834106445312,14.145206451416016,15.376466751098633,38.58334732055664,7.3309431076049805,12.331679344177246,20.388851165771484,6.6149797439575195,24.95815086364746,1.6737756729125977,12.250397682189941,5.428045749664307,29.15306282043457,8.416446685791016,11.138376235961914,4.791395664215088,7.47205114364624,7.583345890045166,17.978334426879883,7.236579895019531,35.17782974243164,19.916521072387695,23.08397674560547,9.779401779174805,11.783989906311035,19.15506362915039,28.468868255615234,15.207894325256348,44.968082427978516,10.412222862243652,26.7764892578125,8.650567054748535,13.963696479797363,12.335241317749023,12.29738712310791,20.525354385375977,8.957545280456543,1253.5,7.6750006675720215,27.718338012695312,41.34761428833008,34.34983825683594,15.335735321044922,21.11886978149414,61.0099983215332,148.93460083007812,22.89006805419922,18.969999313354492,90.41000366210938,12.964948654174805,824.5994262695312,8.86720085144043,21.120859146118164,87.8499984741211,3.5825376510620117,32.62827682495117,23.737852096557617,11.475160598754883,26.498647689819336,3.5798683166503906,4.819975852966309,27.09000015258789,22.920000076293945,7.219735622406006,9.620265007019043,13.684895515441895,9.399514198303223,2.2588889598846436,36.172359466552734,780.510009765625,20.010000228881836,54.901023864746094,2.1759774684906006,231.94175720214844,7.845963478088379,9.933058738708496,6.399716854095459,48.06805419921875,16.100629806518555,7.864159107208252,15.301586151123047,11.419878959655762,199.65232849121094,4.599296569824219,3.770646095275879,33.46152877807617,17.298709869384766,19.48357391357422,5.829405784606934,17.647661209106445,22.412569046020508,2.130000114440918,34.53517150878906,11.91181468963623,34.075931549072266,24.75667953491211,13.680000305175781,18.510536193847656,22.12413787841797,24.45091438293457,25.755895614624023,18.410194396972656,28.6200008392334,20.962629318237305,25.071582794189453,4.353332996368408,15821.7265625,7.659999847412109,12.878303527832031,38.76285934448242,9.83176040649414,26.725677490234375,0.4666914641857147,13.185998916625977,14.108631134033203,9.967408180236816,44.81999969482422,15.09000015258789,36.01274108886719,13.290948867797852,5.732499122619629,14.759626388549805,15.032843589782715,5.053600311279297,6.073963642120361
2005-01-14,41.28342056274414,36.65762710571289,23.933332443237305,23.262584686279297,25.916948318481445,14.963796615600586,13.645173072814941,7.349501132965088,12.47256088256836,13.596750259399414,29.5,18.40884017944336,14.378600120544434,15.57568359375,38.56662368774414,7.32053279876709,12.462559700012207,20.526411056518555,6.729121208190918,25.301807403564453,1.6937007904052734,12.405037879943848,5.459354400634766,29.486671447753906,8.441645622253418,11.351889610290527,4.8242387771606445,7.6945109367370605,7.670251369476318,18.2227840423584,7.306158065795898,34.975494384765625,19.886775970458984,23.388574600219727,9.851574897766113,11.844042778015137,19.536434173583984,28.28284454345703,15.237505912780762,46.1637077331543,10.468320846557617,27.587522506713867,8.741969108581543,14.181877136230469,12.46615219116211,12.350754737854004,20.681730270385742,8.978850364685059,1288.5,7.98050594329834,27.83125877380371,42.67777633666992,35.16780471801758,15.346906661987305,21.11886978149414,62.5,150.94961547851562,23.220760345458984,19.059999465942383,90.69000244140625,13.25942611694336,826.7884521484375,9.012625694274902,20.817033767700195,89.44999694824219,3.6495590209960938,32.91437911987305,23.966094970703125,11.649250030517578,26.65301513671875,3.5770041942596436,4.912949085235596,27.690000534057617,23.045000076293945,7.224246025085449,9.717751502990723,13.78461742401123,9.683453559875488,2.256110906600952,36.2374153137207,797.0,20.899999618530273,55.76886749267578,2.210254430770874,237.58624267578125,7.850377082824707,9.974827766418457,6.547984600067139,48.035888671875,15.98383617401123,8.004799842834473,15.488540649414062,11.573202133178711,208.67991638183594,4.657480239868164,4.061816215515137,33.9403076171875,17.684309005737305,19.990833282470703,5.959352493286133,18.006322860717773,22.307167053222656,2.2274999618530273,34.69990158081055,11.859313011169434,34.559349060058594,25.065826416015625,13.949999809265137,18.510536193847656,22.462278366088867,24.927183151245117,26.110572814941406,18.39900779724121,28.969999313354492,21.366809844970703,25.401004791259766,4.449999809265137,16044.568359375,7.860000133514404,13.114805221557617,39.70360565185547,10.180964469909668,26.880300521850586,0.4684126675128937,13.438708305358887,14.258382797241211,9.986285209655762,45.0099983215332,15.149999618530273,36.11208724975586,13.097926139831543,5.827608108520508,15.08514404296875,15.177216529846191,5.0055389404296875,6.142138481140137
