Date,CRK,XOM,COP,CVX,MRO,HAL,NC,MUR,HP,NR,OXY,APA,RRC,TDW,OII,RES,EOG,TTI,SM,PTEN,TEN,LNG,VLO,DRQ,CNX,DVN,OIS,FTI
2005-01-03,93.10276794433594,26.000978469848633,16.752723693847656,24.197065353393555,7.394662380218506,14.264200210571289,4.700157642364502,19.03070068359375,9.116219520568848,5.099999904632568,16.219865798950195,36.561832427978516,11.705229759216309,866.9918823242188,7.931529998779297,2.4601261615753174,13.762818336486816,8.020784378051758,19.036455154418945,14.556624412536621,83.375,30.79424285888672,12.349222183227539,11.6899995803833,14.653365135192871,28.055105209350586,10.628570556640625,3.7491331100463867
2005-01-04,91.66834259033203,25.82447624206543,16.643178939819336,24.030689239501953,7.311779022216797,14.279211044311523,4.5482659339904785,19.12007713317871,9.099300384521484,4.96999979019165,16.03917121887207,36.266502380371094,11.784903526306152,857.1482543945312,7.946998596191406,2.419745445251465,13.545670509338379,7.988537788391113,18.796852111816406,14.366344451904297,80.75,30.988073348999023,12.352088928222656,11.585000038146973,14.208545684814453,27.98722267150879,10.525713920593262,3.7209625244140625
2005-01-05,89.20294189453125,25.689517974853516,16.766664505004883,24.18756103515625,7.222835063934326,14.099125862121582,4.545577049255371,18.894140243530273,9.025983810424805,4.929999828338623,15.950257301330566,36.14531326293945,11.58266544342041,848.8192749023438,7.891748428344727,2.3555498123168945,13.431927680969238,7.557596683502197,18.38812255859375,14.287056922912598,82.375,31.07256507873535,12.091111183166504,11.744999885559082,13.932828903198242,27.602598190307617,10.291428565979004,3.651148557662964
2005-01-06,92.20625305175781,26.01654052734375,17.00966453552246,24.591638565063477,7.334019184112549,14.350492477416992,4.585903644561768,19.56449317932129,9.237467765808105,5.0,16.254283905029297,36.72843933105469,11.766517639160156,872.2922973632812,8.0685453414917,2.435276508331299,13.630461692810059,7.466716766357422,18.792156219482422,14.294986724853516,84.25,31.629207611083984,12.452466011047363,11.805000305175781,14.090907096862793,27.98722267150879,10.640000343322754,3.7111635208129883
2005-01-07,91.75798797607422,25.84524917602539,16.90210723876953,24.315914154052734,7.44115686416626,14.249195098876953,4.4716477394104,19.33856201171875,8.901917457580566,4.900000095367432,15.990411758422852,36.49369430541992,11.552020072937012,860.1771850585938,7.8210320472717285,2.3389835357666016,13.541542053222656,7.416881084442139,18.453901290893555,13.938207626342773,82.4749984741211,31.31609535217285,12.412317276000977,11.600000381469727,14.079876899719238,27.911802291870117,10.399999618530273,3.6058297157287598
2005-01-10,92.83381652832031,25.94388198852539,17.055469512939453,24.425256729125977,7.534143447875977,14.196666717529297,4.468061447143555,19.537187576293945,9.0147066116333,4.849999904632568,15.990411758422852,36.75115203857422,11.950366973876953,865.7298583984375,7.809981346130371,2.3980019092559814,13.754542350769043,7.472581386566162,19.074037551879883,14.271200180053711,84.75,31.524837493896484,12.561447143554688,11.975000381469727,14.11663818359375,28.364307403564453,10.377142906188965,3.654822826385498
2005-01-11,92.69933319091797,25.876401901245117,17.04949188232422,24.434768676757812,7.588726997375488,14.327987670898438,4.364114284515381,19.492490768432617,9.000608444213867,4.900000095367432,15.978939056396484,37.06922149658203,11.833925247192383,865.477294921875,7.896173000335693,2.363832473754883,13.845539093017578,7.416881084442139,19.229068756103516,14.23948860168457,84.2750015258789,31.30118751525879,12.716314315795898,12.135000228881836,13.954887390136719,28.57547378540039,10.257143020629883,3.6609466075897217
2005-01-12,94.98544311523438,26.260526657104492,17.382112503051758,24.95292854309082,7.661498546600342,14.826970100402832,4.503011703491211,20.00146484375,9.183894157409668,5.079999923706055,16.254283905029297,37.6447639465332,12.275169372558594,893.99853515625,8.033186912536621,2.378328800201416,14.033900260925293,7.501896381378174,19.919687271118164,14.342555046081543,82.5,32.30015563964844,13.00883674621582,13.085000038146973,14.245305061340332,28.809263229370117,10.285714149475098,3.6878929138183594
2005-01-13,97.09223937988281,26.2397518157959,17.647022247314453,24.748516082763672,7.742362022399902,15.232156753540039,4.444763660430908,20.24726676940918,9.209273338317871,5.150000095367432,16.34320068359375,38.727664947509766,12.532564163208008,902.8328247070312,8.019927024841309,2.4021430015563965,14.1870756149292,7.707106113433838,20.30492401123047,14.620054244995117,82.375,34.069488525390625,13.470574378967285,13.100000381469727,14.748948097229004,28.711225509643555,10.468570709228516,3.7675046920776367
2005-01-14,97.71979522705078,26.509674072265625,17.730680465698242,24.86259651184082,7.742362022399902,15.494776725769043,4.591728210449219,20.37388801574707,9.29949951171875,4.989999771118164,16.673051834106445,39.43952941894531,12.698031425476074,907.3756103515625,8.128215789794922,2.468409776687622,14.478935241699219,7.62795352935791,20.17807960510254,14.683479309082031,88.375,35.23247146606445,13.771709442138672,13.135000228881836,14.815125465393066,29.073240280151367,10.520000457763672,3.8409934043884277
2005-01-18,101.26103210449219,26.73288345336914,17.949769973754883,25.238161087036133,7.835351943969727,15.689872741699219,4.608306407928467,20.470720291137695,9.488422393798828,5.269999980926514,16.739017486572266,39.712154388427734,13.053475379943848,919.7431640625,8.251973152160645,2.4456303119659424,14.824596405029297,7.795053482055664,20.309619903564453,14.865839004516602,88.25,35.03864288330078,14.035552978515625,13.0,15.006279945373535,29.714271545410156,10.508570671081543,3.858140707015991
