Date,OSUR,CNMD,XRAY,LH,AMGN,CVS,BMY,ABT,CAH,PFE,JNJ,MRK,BAX,ENZN,ENZ,BDX,HCSG,TFX,DHR,AMN,LLY,THC,MDT,OMI,BIO,TMO,WST,CHE,COO,NHC,SYK,TECH,HOLX,MMSI,QDEL,REGN,IDXX,ALKS,VRTX,HAE,BIIB,PRGO,GILD,ICUI,BSX,STE,PDCO,LGND,ATR,UHS,PTN,INCY,BCRX,NKTR,AMED,MCK,RMD,IART,DVA,MYGN,HSIC,WAT,NBIX,ULGX,GERN,DGX,MTD,UTHR,BMRN,MDRX,A,AGEN,EW,EXEL,CRL,CYH,ISRG,ILMN,BRKR,CRIS,DRRX,RIGL,ALGN,OMCL,CCRN,PETS,DVAX,CORT,CYTK
2005-01-03,6.599999904632568,23.620132446289062,24.096315383911133,40.531986236572266,45.56607437133789,15.648755073547363,12.127248764038086,14.151041984558105,26.545948028564453,11.325244903564453,35.87528610229492,14.658785820007324,13.017904281616211,0.2717750072479248,19.299999237060547,39.6272087097168,3.520427942276001,39.0041618347168,11.35150146484375,15.739999771118164,30.896535873413086,42.84000015258789,32.956459045410156,12.690946578979492,57.16999816894531,28.422029495239258,10.54821491241455,29.440256118774414,16.705371856689453,21.884885787963867,40.117252349853516,5.051541328430176,6.800000190734863,11.880000114440918,4.980000019073486,9.039999961853027,13.6875,14.010000228881836,10.239999771118164,18.399999618530273,66.29000091552734,14.524198532104492,7.151979446411133,26.3799991607666,34.290000915527344,17.428197860717773,31.81221580505371,25.10457992553711,20.333051681518555,20.182268142700195,640.0,9.640000343322754,5.809999942779541,19.760000228881836,23.625,27.060447692871094,10.920319557189941,17.954999923706055,19.68000030517578,10.029536247253418,13.345097541809082,45.77000045776367,49.02000045776367,6.190000057220459,7.344045162200928,36.56877517700195,51.06999969482422,22.024999618530273,6.260000228881836,4.165656089782715,14.689767837524414,1177.6251220703125,3.3958330154418945,9.199999809265137,45.349998474121094,22.709156036376953,4.1922221183776855,4.508755207061768,3.7914257049560547,25.100000381469727,31.200000762939453,234.39999389648438,10.5600004196167,10.770000457763672,17.3799991607666,4.6560444831848145,77.9000015258789,6.079999923706055,58.86000061035156
2005-01-04,6.269999980926514,23.13928985595703,23.901430130004883,40.357200622558594,44.84302520751953,15.471400260925293,11.993719100952148,14.008523941040039,25.793859481811523,11.325244903564453,35.76120376586914,14.597824096679688,12.991583824157715,0.2601303160190582,18.920000076293945,39.16733169555664,3.4111855030059814,38.688602447509766,11.234414100646973,15.579999923706055,30.484577178955078,42.439998626708984,32.8031120300293,12.353898048400879,57.25,28.067705154418945,10.631596565246582,29.395729064941406,16.842845916748047,21.597095489501953,40.64937210083008,4.95787239074707,6.447500228881836,11.288000106811523,4.78000020980835,8.350000381469727,13.675000190734863,13.609999656677246,10.09000015258789,18.344999313354492,64.76000213623047,14.148059844970703,6.976938247680664,25.65999984741211,34.16999816894531,17.04441261291504,31.399744033813477,24.701112747192383,19.718643188476562,20.05384063720703,642.5,9.270000457763672,5.869999885559082,19.229999542236328,23.0625,26.712068557739258,10.86014175415039,17.700000762939453,19.7549991607666,9.721214294433594,13.392156600952148,45.0,48.119998931884766,6.130000114440918,7.769375801086426,36.159542083740234,50.36000061035156,21.200000762939453,6.170000076293945,4.092999458312988,14.302225112915039,1091.658447265625,3.3233330249786377,8.800000190734863,44.36000061035156,22.70096206665039,4.04555606842041,4.367703914642334,3.7037060260772705,24.25,30.399999618530273,228.0,10.40999984741211,10.40999984741211,17.459999084472656,4.369709491729736,73.19999694824219,5.960000038146973,58.91999816894531
2005-01-05,6.170000076293945,22.515047073364258,23.619924545288086,39.84951400756836,44.13414764404297,15.73568344116211,11.955141067504883,13.847827911376953,25.733505249023438,11.248172760009766,35.7383918762207,14.696295738220215,13.130716323852539,0.2581566274166107,18.450000762939453,38.94802474975586,3.3882806301116943,38.66552734375,11.177886962890625,15.140000343322754,30.803152084350586,41.91999816894531,32.559326171875,12.2954740524292,56.09000015258789,27.991107940673828,10.631596565246582,29.373456954956055,17.1865291595459,21.20697784423828,40.69926071166992,4.9512763023376465,6.414999961853027,10.880000114440918,4.599999904632568,8.40999984741211,13.732500076293945,13.010000228881836,9.899999618530273,17.90999984741211,64.83999633789062,14.036924362182617,6.880148410797119,24.649999618530273,34.70000076293945,16.93153953552246,31.370271682739258,23.62520408630371,19.200227737426758,20.182268142700195,605.0,9.25,5.710000038146973,18.799999237060547,22.537500381469727,26.703359603881836,10.875184059143066,17.979999542236328,19.649999618530273,9.893510818481445,13.37843132019043,45.33000183105469,47.22999954223633,6.0,7.551984786987305,35.665443420410156,50.369998931884766,21.364999771118164,6.079999923706055,4.056671142578125,14.296077728271484,1106.9676513671875,3.2891669273376465,8.600000381469727,44.060001373291016,22.176462173461914,4.010000228881836,4.134241104125977,3.5282676219940186,22.5,27.600000381469727,231.89999389648438,10.399999618530273,10.020000457763672,17.18000030517578,4.238992691040039,68.19999694824219,5.96999979019165,56.220001220703125
2005-01-06,6.099999904632568,22.953710556030273,23.73253059387207,40.09087371826172,44.5452995300293,15.739165306091309,11.935853958129883,14.160137176513672,26.160615921020508,11.256731986999512,35.84105682373047,14.799466133117676,13.18336009979248,0.2686171233654022,18.489999771118164,38.9550895690918,3.478142023086548,38.819435119628906,11.183938026428223,15.140000343322754,31.050321578979492,41.47999954223633,33.22721481323242,12.380858421325684,56.619998931884766,28.01025390625,10.619093894958496,29.29328727722168,17.14859962463379,21.181386947631836,40.449825286865234,5.005367755889893,6.402500152587891,10.920000076293945,4.570000171661377,8.300000190734863,13.712499618530273,13.239999771118164,10.520000457763672,17.450000762939453,65.19000244140625,14.10531234741211,6.923394203186035,24.350000381469727,35.189998626708984,17.360469818115234,31.539688110351562,23.75969123840332,19.396080017089844,20.182268142700195,605.0,9.300000190734863,5.800000190734863,19.09000015258789,22.4325008392334,27.147537231445312,10.873032569885254,18.174999237060547,19.6299991607666,10.061274528503418,13.425490379333496,45.70000076293945,47.189998626708984,5.960000038146973,8.856332778930664,35.56507873535156,50.20000076293945,21.690000534057617,6.139999866485596,4.0364885330200195,13.982349395751953,1132.8753662109375,3.3358330726623535,8.649999618530273,44.86000061035156,22.340370178222656,4.090000152587891,4.178016185760498,3.508774757385254,24.25,29.5,238.89999389648438,10.239999771118164,10.229999542236328,17.040000915527344,4.369709491729736,71.0,5.989999771118164,55.79999923706055
2005-01-07,5.849999904632568,23.130859375,23.55063819885254,39.82454299926758,44.637451171875,15.909565925598145,11.931031227111816,14.402711868286133,26.053844451904297,11.261016845703125,35.709861755371094,14.597824096679688,13.341286659240723,0.2648671865463257,18.299999237060547,38.81358337402344,3.4887123107910156,38.58854675292969,11.204134941101074,15.039999961853027,30.902015686035156,41.79999923706055,33.52777862548828,12.124706268310547,56.29999923706055,27.598478317260742,10.589906692504883,28.994890213012695,16.89736557006836,20.669761657714844,40.117252349853516,4.973703861236572,6.15749979019165,10.392000198364258,4.659999847412109,8.149999618530273,13.765000343322754,12.90999984741211,10.489999771118164,17.079999923706055,66.08999633789062,13.891594886779785,6.908980369567871,23.889999389648438,34.7400016784668,17.307798385620117,31.532318115234375,22.885513305664062,18.816226959228516,20.182268142700195,590.0,9.109999656677246,5.949999809265137,19.190000534057617,22.612499237060547,26.89496612548828,10.830052375793457,18.059999465942383,19.934999465942383,10.011398315429688,13.488235473632812,45.66999816894531,46.720001220703125,5.96999979019165,8.582230567932129,35.348541259765625,50.150001525878906,21.280000686645508,6.130000114440918,3.9194304943084717,13.970040321350098,1110.50048828125,3.3375000953674316,8.609999656677246,44.400001525878906,22.13548469543457,4.133333206176758,4.139104843139648,3.508774757385254,23.700000762939453,30.0,241.39999389648438,10.279999732971191,10.170000076293945,16.790000915527344,4.083376407623291,70.80000305175781,5.78000020980835,57.0
2005-01-10,6.03000020980835,23.28270149230957,24.0789852142334,39.9826774597168,45.11239242553711,15.999975204467773,12.046771049499512,14.542189598083496,25.752077102661133,11.32096004486084,35.989349365234375,14.771327018737793,13.322481155395508,0.2624987065792084,19.0,38.41739273071289,3.43585467338562,38.634735107421875,11.167797088623047,15.119999885559082,31.27552032470703,42.2400016784668,34.30250930786133,12.340418815612793,55.93000030517578,27.675085067749023,10.735835075378418,29.173038482666016,16.947128295898438,20.529069900512695,41.07341003417969,4.953914165496826,6.5625,10.84000015258789,4.75,8.470000267028809,14.145000457763672,12.899999618530273,10.779999732971191,17.655000686645508,66.81999969482422,13.985635757446289,6.911037921905518,23.6200008392334,34.279998779296875,17.322847366333008,32.15840530395508,22.907930374145508,19.05047607421875,20.17767906188965,605.0,9.65999984741211,5.989999771118164,19.799999237060547,22.252500534057617,27.26076316833496,10.918167114257812,18.114999771118164,20.850000381469727,10.337857246398926,13.5,46.099998474121094,47.060001373291016,5.860000133514404,8.204158782958984,35.340816497802734,49.849998474121094,21.280000686645508,6.260000228881836,3.8750290870666504,13.902375221252441,1095.19140625,3.441667079925537,8.579999923706055,44.970001220703125,22.348562240600586,4.511110782623291,4.241244792938232,3.6549735069274902,23.649999618530273,29.5,237.39999389648438,10.289999961853027,10.3100004196167,17.0,4.108273983001709,71.4000015258789,5.920000076293945,57.0
2005-01-11,6.010000228881836,23.11398696899414,24.0789852142334,40.14080810546875,45.21162414550781,16.38250732421875,11.86351490020752,14.275359153747559,25.53388214111328,11.196789741516113,35.86386489868164,14.616576194763184,13.371365547180176,0.2563803195953369,18.700000762939453,38.16975402832031,3.43585467338562,38.603946685791016,11.242490768432617,14.779999732971191,31.324954986572266,42.0,34.02867889404297,12.308958053588867,56.0,27.627208709716797,10.61075496673584,29.23093605041504,17.04431915283203,20.70813751220703,40.88216781616211,4.885311603546143,6.570000171661377,10.472000122070312,4.699999809265137,7.5,13.75,13.0,10.920000076293945,17.46500015258789,65.80000305175781,13.977087020874023,6.754531383514404,23.209999084472656,33.900001525878906,17.104616165161133,32.416194915771484,22.123409271240234,18.919918060302734,19.916229248046875,615.0,9.34000015258789,5.96999979019165,19.0,20.684999465942383,27.19980239868164,10.892379760742188,18.09000015258789,20.850000381469727,9.943387031555176,13.494117736816406,47.15999984741211,46.43000030517578,5.449999809265137,8.37429141998291,35.06630325317383,49.70000076293945,20.684999465942383,5.900000095367432,3.77815318107605,13.662467956542969,1049.2640380859375,3.3541669845581055,8.390000343322754,44.400001525878906,22.209243774414062,4.412221908569336,4.173151969909668,3.557507276535034,23.299999237060547,29.299999237060547,229.89999389648438,10.079999923706055,10.199999809265137,16.75,4.095824241638184,74.4000015258789,5.619999885559082,55.08000183105469
2005-01-12,6.039999961853027,23.13928985595703,23.9967041015625,40.49036407470703,45.98430633544922,16.3720703125,11.892446517944336,14.308899879455566,25.385316848754883,11.145411491394043,36.11482238769531,14.57437801361084,13.273603439331055,0.2597355842590332,18.809999465942383,38.81358337402344,3.421759605407715,38.41925048828125,11.315163612365723,14.5,31.736915588378906,42.36000061035156,34.048702239990234,12.308958053588867,56.02000045776367,27.675085067749023,10.689970016479492,29.431377410888672,17.020610809326172,20.164541244506836,41.51407241821289,4.903780460357666,6.702499866485596,10.520000457763672,4.730000019073486,7.730000019073486,13.734999656677246,13.039999961853027,11.1899995803833,17.3700008392334,67.11000061035156,14.113865852355957,6.824546813964844,23.950000762939453,33.4900016784668,17.285221099853516,32.6003303527832,21.428550720214844,18.835439682006836,20.819841384887695,585.0,9.029999732971191,6.090000152587891,19.010000228881836,21.00749969482422,27.20852279663086,10.782764434814453,18.200000762939453,20.700000762939453,11.312700271606445,13.468626976013184,48.5,45.18000030517578,5.53000020980835,8.345935821533203,36.156681060791016,49.84000015258789,20.69499969482422,6.010000228881836,3.8346641063690186,13.644017219543457,1042.1982421875,3.3416669368743896,8.75,44.709999084472656,23.520490646362305,4.456666946411133,4.226654052734375,3.508774757385254,23.25,29.5,229.89999389648438,10.109999656677246,10.329999923706055,16.299999237060547,4.095824241638184,73.30000305175781,5.710000038146973,53.459999084472656
2005-01-13,5.800000190734863,22.734384536743164,23.74118423461914,40.09919357299805,45.28960418701172,16.23296356201172,11.76706600189209,14.034489631652832,25.139265060424805,10.845686912536621,35.344844818115234,14.372735023498535,12.935185432434082,0.2508540153503418,18.469999313354492,38.134376525878906,3.3178021907806396,38.09599304199219,11.10319709777832,14.529999732971191,30.98991584777832,41.7599983215332,33.668006896972656,12.133696556091309,55.86000061035156,27.34950065612793,10.61075496673584,29.551616668701172,16.868921279907227,19.83197593688965,40.050724029541016,4.71512508392334,6.534999847412109,10.336000442504883,4.71999979019165,7.639999866485596,13.882499694824219,12.579999923706055,10.390000343322754,17.524999618530273,64.87000274658203,14.028376579284668,6.69481086730957,24.020000457763672,33.5,16.92401123046875,32.666629791259766,21.71994400024414,18.489831924438477,20.49875831604004,575.0,8.930000305175781,6.0,18.65999984741211,20.977500915527344,27.461082458496094,10.705394744873047,17.84000015258789,20.600000381469727,10.786738395690918,13.490196228027344,48.5,44.400001525878906,5.340000152587891,7.958412170410156,35.7584114074707,49.5,20.969999313354492,5.96999979019165,3.838700771331787,13.354897499084473,1077.5269775390625,3.359999895095825,8.65999984741211,44.41999816894531,23.60244369506836,4.612222194671631,4.226654052734375,3.6452269554138184,21.799999237060547,29.299999237060547,225.1999969482422,10.100000381469727,10.100000381469727,16.010000228881836,4.046030044555664,71.9000015258789,5.46999979019165,52.5
2005-01-14,6.039999961853027,23.03805923461914,23.970714569091797,40.174102783203125,45.2328987121582,16.344253540039062,11.781530380249023,14.101564407348633,25.269248962402344,10.811432838439941,35.76120376586914,14.4758939743042,12.91638469696045,0.257564514875412,18.459999084472656,38.318336486816406,3.3829944133758545,38.1883544921875,11.093106269836426,14.569999694824219,31.445804595947266,42.36000061035156,34.02199172973633,12.317944526672363,56.33000183105469,28.00067138671875,10.635873794555664,31.253009796142578,16.90447425842285,19.83197593688965,40.55791473388672,4.7560224533081055,6.65500020980835,10.631999969482422,4.699999809265137,7.730000019073486,13.837499618530273,12.59000015258789,10.520000457763672,17.5049991607666,66.58000183105469,14.370326042175293,6.7277607917785645,24.420000076293945,33.13999938964844,17.247591018676758,33.322174072265625,23.73727798461914,18.812389373779297,20.333635330200195,582.5,8.979999542236328,6.050000190734863,18.610000610351562,21.885000228881836,27.008190155029297,10.737632751464844,17.6200008392334,21.0,11.126800537109375,13.660783767700195,48.65999984741211,45.09000015258789,5.46999979019165,8.08128547668457,36.05613327026367,49.79999923706055,21.264999389648438,5.96999979019165,3.955758810043335,13.564044952392578,1053.9744873046875,3.4316670894622803,8.640000343322754,45.279998779296875,23.930253982543945,4.550000190734863,4.314201831817627,3.684213161468506,22.049999237060547,30.600000381469727,217.6999969482422,10.279999732971191,10.010000228881836,16.149999618530273,4.164295673370361,79.9000015258789,5.53000020980835,52.91999816894531
