Date,AVD,DD,OLN,VMC,FMC,NEM,PPG,ASH,CDE,AA,CLF,APD,CMC,HL,NUE,SHW,SCL,FUL,AGI,IFF,NEU,VHI,CBT,GLT,SXT,KWR,RPM,ECL,X,SMG,MTX,UFPI,EMN,ALB,MLM,EXP,SSD,RS,WDFC,FCX,CENX,LIN,STLD,SKE,CMP,KRO
2005-01-03,12.246387481689453,39.20645523071289,10.79033088684082,41.34443664550781,8.015019416809082,29.266857147216797,21.664794921875,17.181913375854492,37.79999923706055,59.066036224365234,10.105451583862305,33.42205047607422,7.797832489013672,5.254920959472656,14.181591987609863,11.192264556884766,8.70031452178955,11.152861595153809,2.638904333114624,26.987382888793945,14.35064697265625,16.839567184448242,23.99820327758789,9.095305442810059,14.951665878295898,15.619977951049805,11.47761058807373,28.367053985595703,42.30803298950195,20.53982925415039,31.1727294921875,12.520598411560059,17.748167037963867,14.747446060180664,42.05467987060547,23.68879508972168,26.80790138244629,14.341866493225098,19.29604148864746,11.907125473022461,26.329999923706055,31.29262351989746,6.146604537963867,90.0,13.074252128601074,9.80950927734375
2005-01-04,11.757207870483398,38.35826110839844,10.44467830657959,40.8783073425293,7.658685684204102,28.721046447753906,21.17513656616211,16.68938636779785,36.099998474121094,57.99870300292969,9.835304260253906,32.7829704284668,7.873898983001709,5.208336353302002,14.088814735412598,11.06035327911377,8.711170196533203,10.917237281799316,2.427791118621826,26.21814727783203,14.468523979187012,16.679189682006836,23.201801300048828,8.901144981384277,14.351317405700684,15.7710542678833,11.293259620666504,28.006336212158203,41.84451675415039,19.79349708557129,30.75823402404785,12.353351593017578,16.165388107299805,14.146697044372559,41.07554626464844,23.24305534362793,26.26624870300293,14.168384552001953,19.220367431640625,11.436725616455078,25.399999618530273,30.8443660736084,6.160187244415283,90.0,12.75068473815918,9.904513359069824
2005-01-05,11.571656227111816,37.969852447509766,10.234282493591309,40.73847198486328,7.4982476234436035,28.790142059326172,20.875526428222656,16.483417510986328,35.900001525878906,57.65565490722656,9.577166557312012,32.81175231933594,7.634620189666748,5.1710662841796875,13.965134620666504,10.903074264526367,8.537525177001953,10.63841438293457,2.4014031887054443,26.186094284057617,14.335912704467773,16.615032196044922,22.64997100830078,8.440008163452148,14.319719314575195,15.514883995056152,10.924546241760254,27.735782623291016,41.92178726196289,19.2145938873291,30.098798751831055,12.165916442871094,15.985740661621094,13.805630683898926,41.059505462646484,22.511363983154297,25.74029541015625,14.104279518127441,19.345094680786133,11.305526733398438,24.709999084472656,30.218233108520508,6.109246730804443,90.0,12.487447738647461,9.88502311706543
2005-01-06,11.537917137145996,38.40584182739258,10.264338493347168,40.85500717163086,7.621529579162598,28.741756439208984,21.17190170288086,16.67445182800293,35.0,57.90339660644531,9.995390892028809,33.01325607299805,7.83269739151001,5.068577766418457,13.830201148986816,10.910685539245605,8.447081565856934,10.697319984436035,2.4014031887054443,26.33353042602539,14.13700008392334,16.764719009399414,22.919612884521484,8.60383415222168,14.484029769897461,15.350683212280273,11.049432754516602,27.817766189575195,41.62993621826172,19.538097381591797,30.470909118652344,12.174565315246582,16.32025909423828,14.07305908203125,40.92306900024414,23.03559684753418,25.551898956298828,14.047710418701172,19.192655563354492,11.289525032043457,24.299999237060547,30.517066955566406,6.015861988067627,90.0,12.476481437683105,9.926437377929688
2005-01-07,11.345620155334473,38.041194915771484,10.324446678161621,41.06477737426758,7.5961995124816895,28.672679901123047,21.27499771118164,16.507305145263672,35.29999923706055,58.4942626953125,10.227516174316406,33.19175720214844,7.780406951904297,5.049943923950195,13.866747856140137,10.837114334106445,8.349408149719238,10.473471641540527,2.4014031887054443,26.538654327392578,13.776031494140625,16.647106170654297,22.706403732299805,8.518349647521973,14.155414581298828,15.107629776000977,11.001858711242676,27.653799057006836,41.89604568481445,19.697011947631836,30.14589500427246,11.453666687011719,16.18706703186035,14.123443603515625,40.634132385253906,22.687969207763672,25.120147705078125,13.757328987121582,20.051820755004883,11.398323059082031,24.850000381469727,30.509960174560547,6.114339828491211,95.0,12.26807975769043,9.865535736083984
2005-01-10,11.38610553741455,38.604007720947266,10.449689865112305,41.22013854980469,7.5624237060546875,28.78322410583496,21.216997146606445,16.623708724975586,36.599998474121094,58.07494354248047,10.449634552001953,33.21477127075195,8.143282890319824,5.208336353302002,14.032597541809082,10.9436616897583,8.392818450927734,10.642338752746582,2.577329635620117,26.871992111206055,14.365378379821777,16.786100387573242,22.66878890991211,8.585515975952148,14.370280265808105,15.114204406738281,11.138635635375977,27.899757385253906,42.05054473876953,19.750938415527344,30.240093231201172,11.753559112548828,16.221141815185547,14.018790245056152,40.44955825805664,23.04961585998535,25.67749786376953,13.991143226623535,20.211179733276367,11.33752727508545,24.639999389648438,30.403221130371094,6.110945224761963,95.0,12.174847602844238,9.994640350341797
2005-01-11,11.301761627197266,37.81132125854492,10.339478492736816,41.375511169433594,7.4982476234436035,29.322147369384766,21.03660774230957,16.766990661621094,36.79999923706055,56.512054443359375,10.173486709594727,32.616004943847656,8.043452262878418,5.310825824737549,13.594084739685059,10.882777214050293,8.392818450927734,10.591290473937988,2.762052059173584,26.564302444458008,14.254878044128418,16.615032196044922,22.25491714477539,8.536663055419922,14.142778396606445,15.160183906555176,10.639094352722168,27.670198440551758,39.77589797973633,19.481340408325195,29.811471939086914,11.358508110046387,16.078657150268555,13.875393867492676,40.441524505615234,22.634706497192383,25.363500595092773,13.68567180633545,20.425973892211914,11.379128456115723,23.989999771118164,30.324962615966797,5.769655227661133,95.0,12.026777267456055,9.987332344055176
2005-01-12,10.964396476745605,38.326568603515625,10.249308586120605,41.499813079833984,7.533712863922119,29.550127029418945,21.287878036499023,17.041622161865234,36.099998474121094,56.09272384643555,10.08543872833252,33.03628921508789,8.160707473754883,5.199020862579346,13.838639259338379,11.042596817016602,8.465170860290527,10.469550132751465,2.8588130474090576,26.53225326538086,14.291712760925293,16.764719009399414,22.13577651977539,8.335155487060547,14.231253623962402,15.1767578125,10.87298583984375,27.59641456604004,40.745849609375,19.725393295288086,29.613630294799805,11.130702018737793,16.078657150268555,13.859886169433594,40.13654327392578,22.707595825195312,25.30854606628418,13.798811912536621,20.065673828125,11.537032127380371,24.170000076293945,30.48149299621582,5.8800225257873535,95.0,12.026777267456055,10.525673866271973
2005-01-13,10.89692211151123,38.36619186401367,10.169154167175293,41.57746887207031,7.532022476196289,29.218482971191406,21.22667694091797,17.047588348388672,36.0,56.22615051269531,10.305559158325195,32.72538375854492,8.293817520141602,5.1151628494262695,14.170342445373535,10.93858528137207,8.428996086120605,10.394937515258789,2.7004783153533936,26.26302719116211,13.997039794921875,16.839567184448242,22.12322998046875,8.182497024536133,14.029034614562988,15.05078411102295,10.944951057434082,27.252071380615234,41.18358612060547,19.495534896850586,29.29804039001465,11.124934196472168,15.960959434509277,13.681599617004395,40.489681243896484,23.11690330505371,25.15939712524414,13.764866828918457,19.78852653503418,11.685275077819824,24.469999313354492,30.011886596679688,5.985297679901123,95.0,12.087103843688965,10.503752708435059
2005-01-14,10.873309135437012,39.46803283691406,10.464716911315918,42.33103561401367,7.616462707519531,28.928327560424805,21.30076789855957,17.178936004638672,35.900001525878906,56.98854446411133,10.731788635253906,33.21477127075195,8.737505912780762,5.049943923950195,14.701624870300293,11.103477478027344,8.392818450927734,10.516671180725098,2.7092742919921875,26.58993911743164,13.997039794921875,16.582965850830078,22.167129516601562,8.32905101776123,14.319719314575195,15.117088317871094,11.016918182373047,27.59641456604004,43.30372619628906,19.79633140563965,29.39225196838379,11.580544471740723,15.920689582824707,13.204875946044922,41.412628173828125,23.481346130371094,25.983646392822266,13.904404640197754,19.961753845214844,11.798067092895508,25.489999771118164,30.01900291442871,6.280740737915039,95.0,12.130973815917969,10.486700057983398
