Date,JJSF,ADM,KO,IMKTA,ALCO,IPAR,COKE,MGPI,PEP,MO,TR,UVV,HSY,KR,GIS,KMB,PG,CL,CALM,CHD,CCU,CPB,K,HRL,FARM,WMK,SJM,INGR,CLX,LANC,TGT,SYY,MKC,WMT,CAG,NWL,STZ,PPC,VGR,JBSS,TSN,CENT,HAIN,DAR,DLTR,SAM,EL,LTRE,STRA,USNA,NUS,UNFI,MNST,MTEX,COST,FLO,UTI
2005-01-03,18.460599899291992,13.872178077697754,11.427580833435059,7.218259334564209,45.3360710144043,7.68641471862793,44.211124420166016,7.019174098968506,30.097028732299805,4.415031909942627,17.142948150634766,19.34300422668457,34.15565872192383,6.193580150604248,13.217686653137207,31.3505859375,31.891000747680664,15.798104286193848,3.7752480506896973,6.464261531829834,4.793036937713623,16.79021453857422,22.586015701293945,5.149425506591797,21.12153434753418,21.588071823120117,25.250654220581055,17.730573654174805,33.47896194458008,23.71112632751465,33.208221435546875,21.308908462524414,12.727622985839844,11.852498054504395,11.813915252685547,12.717350006103516,21.23413848876953,22.17008399963379,0.6565719842910767,15.376782417297363,14.130003929138184,4.822514533996582,10.364999771118164,4.480000019073486,9.513333320617676,20.950000762939453,18.60342025756836,13.479999542236328,87.41931915283203,16.954999923706055,16.040117263793945,30.459999084472656,0.38270801305770874,129.80535888671875,33.86183547973633,3.7587530612945557,30.151527404785156
2005-01-04,18.347986221313477,13.72056770324707,11.268022537231445,7.271334171295166,41.90964889526367,7.613992691040039,43.640716552734375,6.799295425415039,29.882619857788086,4.445613861083984,16.95539665222168,19.568063735961914,34.520057678222656,6.027454853057861,13.177142143249512,31.365163803100586,31.492284774780273,15.687559127807617,3.4635300636291504,6.382287502288818,4.642539024353027,16.891939163208008,22.50455665588379,5.1410112380981445,20.94596290588379,21.3925724029541,25.013460159301758,17.53266716003418,33.1290168762207,23.4593563079834,32.84921646118164,20.960063934326172,12.734328269958496,11.823616981506348,11.773500442504883,12.516161918640137,21.023895263671875,21.91628646850586,0.6549398899078369,15.326776504516602,14.137845993041992,4.735969066619873,10.239999771118164,4.440000057220459,9.210000038146973,21.309999465942383,18.228002548217773,13.40999984741211,87.89833068847656,16.774999618530273,15.770755767822266,30.1200008392334,0.36677101254463196,127.92514038085938,33.25387954711914,3.695539951324463,29.490020751953125
2005-01-05,18.181018829345703,13.486837387084961,11.2157564163208,7.070827007293701,40.21476364135742,7.488463401794434,42.773380279541016,6.427193641662598,29.917388916015625,4.437602519989014,16.60565185546875,19.56001853942871,33.68440246582031,5.976896286010742,13.447442054748535,30.826065063476562,31.821664810180664,15.333823204040527,3.3596248626708984,6.403757095336914,4.6234893798828125,16.7619571685791,22.642030715942383,5.09221076965332,20.29633331298828,20.705547332763672,25.08894157409668,17.30794334411621,32.962669372558594,23.17401695251465,32.87486267089844,20.988773345947266,12.573431015014648,11.839168548583984,11.656291961669922,12.256729125976562,20.43431282043457,21.91628646850586,0.6447383761405945,15.333026885986328,13.980935096740723,4.6337971687316895,10.069999694824219,4.380000114440918,9.433333396911621,21.489999771118164,17.881149291992188,13.220000267028809,87.9847412109375,16.655000686645508,14.738188743591309,29.25,0.3490630090236664,124.76895904541016,33.3811149597168,3.604367971420288,28.991859436035156
2005-01-06,18.281972885131836,13.764784812927246,11.309285163879395,7.253642559051514,40.23676681518555,7.435351848602295,42.398311614990234,6.5117645263671875,30.13178825378418,4.4062933921813965,16.585372924804688,19.39786720275879,33.62157440185547,5.929947853088379,13.545365333557129,31.326309204101562,31.9776668548584,15.706515312194824,3.394259452819824,6.470117568969727,4.5491943359375,16.7619571685791,22.672574996948242,5.11240291595459,19.80472755432129,20.778173446655273,25.245275497436523,18.290729522705078,33.25521469116211,23.179609298706055,31.0926513671875,20.948575973510742,12.640474319458008,12.008014678955078,11.74521255493164,12.288493156433105,21.247848510742188,21.774456024169922,0.6467785835266113,15.245516777038574,13.784802436828613,4.680675983428955,10.234999656677246,4.429999828338623,9.366666793823242,21.260000228881836,18.117826461791992,13.5,88.42450714111328,16.979999542236328,15.020379066467285,30.299999237060547,0.3604170083999634,122.35140228271484,33.86183547973633,3.633542776107788,28.844852447509766
2005-01-07,18.11888885498047,13.796368598937988,11.323042869567871,7.371588230133057,40.35417175292969,7.478804111480713,41.7497444152832,6.452564716339111,30.392536163330078,4.471099376678467,16.281246185302734,19.483001708984375,33.935733795166016,6.005786418914795,13.855437278747559,31.151472091674805,32.31283187866211,15.81705379486084,3.460380792617798,6.474019527435303,4.585389614105225,16.620676040649414,22.509660720825195,5.119134902954102,19.74327850341797,20.28664779663086,25.2021427154541,18.062644958496094,33.53632354736328,23.034137725830078,31.425987243652344,20.856698989868164,12.757795333862305,11.994683265686035,11.688627243041992,12.299083709716797,22.45444107055664,21.796850204467773,0.6447383761405945,15.25801944732666,13.863255500793457,4.709524631500244,10.364999771118164,4.210000038146973,9.283332824707031,21.290000915527344,18.276975631713867,13.539999961853027,88.93494415283203,16.764999389648438,15.078100204467773,29.65999984741211,0.35270801186561584,119.93396759033203,33.57197952270508,3.6286797523498535,28.91019058227539
2005-01-10,18.219844818115234,13.910079956054688,11.386316299438477,7.312614440917969,40.1927490234375,7.493293285369873,42.10918045043945,6.503305435180664,31.151639938354492,4.52935791015625,16.453577041625977,19.782989501953125,34.042545318603516,6.0888495445251465,13.898953437805176,31.355449676513672,32.56706619262695,15.962340354919434,3.48557186126709,6.477924346923828,4.629205226898193,16.586763381958008,22.463830947875977,5.078746318817139,21.832609176635742,21.102134704589844,25.126670837402344,18.330982208251953,33.47321701049805,23.353055953979492,31.849123001098633,21.103622436523438,12.922040939331055,11.934703826904297,11.729044914245605,12.415570259094238,22.62354278564453,24.095972061157227,0.6455543637275696,15.001738548278809,13.855406761169434,4.75760555267334,10.28499984741211,4.25,9.210000038146973,21.3700008392334,18.36673355102539,13.779999732971191,90.10503387451172,16.674999237060547,15.110164642333984,29.59000015258789,0.3578130006790161,123.35873413085938,33.63563537597656,3.64205265045166,29.24502944946289
2005-01-11,17.6024112701416,13.714251518249512,11.323042869567871,7.312614440917969,39.437042236328125,7.237401485443115,42.74211502075195,6.376453399658203,30.98358154296875,4.485664367675781,16.36741065979004,19.39381217956543,34.33785629272461,6.005786418914795,13.866312026977539,31.12232208251953,32.532405853271484,15.933916091918945,3.3659229278564453,6.448648452758789,4.59491491317749,16.46808624267578,22.484195709228516,5.06191873550415,24.132617950439453,20.861948013305664,25.01885414123535,18.069347381591797,33.47321701049805,23.397811889648438,31.547807693481445,20.88541030883789,12.798020362854004,11.905815124511719,11.680541038513184,12.38908863067627,22.25791358947754,24.34230613708496,0.6471864581108093,15.001738548278809,13.894634246826172,4.69870662689209,10.270000457763672,4.269999980926514,9.133333206176758,20.75,18.370819091796875,13.680000305175781,90.30919647216797,16.524999618530273,15.058859825134277,29.149999618530273,0.36197900772094727,122.48573303222656,33.45182800292969,3.355161666870117,28.82852554321289
2005-01-12,17.536409378051758,13.625811576843262,11.323042869567871,7.406973838806152,38.703311920166016,7.19394588470459,42.460811614990234,6.410280704498291,31.064729690551758,4.487849235534668,16.06835174560547,19.539751052856445,34.375572204589844,6.0238447189331055,13.86087417602539,31.379737854003906,32.653751373291016,15.858114242553711,3.3659229278564453,6.429131031036377,4.629205226898193,16.456783294677734,22.428190231323242,5.003019332885742,25.317750930786133,20.834014892578125,24.921823501586914,18.076051712036133,33.66827392578125,23.425785064697266,31.88758659362793,20.856698989868164,12.700810432434082,12.014678955078125,11.708831787109375,12.410269737243652,22.427011489868164,24.446807861328125,0.6471864581108093,15.114251136779785,13.871097564697266,4.687888145446777,10.220000267028809,4.300000190734863,9.3100004196167,23.530000686645508,18.47283935546875,13.680000305175781,90.45841979980469,16.59000015258789,15.013957977294922,29.059999465942383,0.3606249988079071,120.47118377685547,33.600257873535156,3.4828040599823,29.081687927246094
2005-01-13,16.93062973022461,13.802689552307129,11.207505226135254,7.259539604187012,38.47585678100586,7.261539459228516,41.68722152709961,6.427193641662598,30.66489601135254,4.536638259887695,16.245763778686523,19.276256561279297,34.073970794677734,5.980506896972656,13.760239601135254,30.879491806030273,32.087467193603516,15.76020336151123,3.4194493293762207,6.3022661209106445,4.631109237670898,16.343759536743164,22.331439971923828,5.04845666885376,25.897140502929688,20.699974060058594,24.797826766967773,18.146499633789062,33.34127426147461,23.54326629638672,31.573453903198242,20.914119720458984,12.747735023498535,11.916926383972168,11.785623550415039,12.22496223449707,22.495573043823242,24.40948486328125,0.6549398899078369,14.84546947479248,13.792645454406738,4.780444145202637,10.100000381469727,4.260000228881836,9.296667098999023,23.6299991607666,18.464683532714844,13.609999656677246,88.11035919189453,16.7450008392334,14.815135955810547,28.469999313354492,0.37187498807907104,118.38948822021484,33.74873733520508,3.4779388904571533,28.534521102905273
2005-01-14,17.295654296875,13.840588569641113,11.27077865600586,7.2359514236450195,39.437042236328125,7.271193981170654,41.874755859375,6.5117645263671875,30.612747192382812,4.613100051879883,16.017662048339844,19.4505672454834,34.45724105834961,6.059957981109619,13.773836135864258,31.263172149658203,32.28971481323242,15.81705379486084,3.624112129211426,6.325687408447266,4.659683704376221,16.400270462036133,22.55546760559082,5.046774387359619,25.194847106933594,21.141223907470703,24.819393157958984,18.183387756347656,33.58794021606445,23.862180709838867,31.893991470336914,20.75907325744629,12.747735023498535,11.994683265686035,11.80179500579834,12.182611465454102,22.60526466369629,24.633426666259766,0.6528997421264648,14.951735496520996,13.682802200317383,4.763615608215332,10.25,4.289999961853027,9.369999885559082,23.899999618530273,18.61157989501953,13.630000114440918,88.04755401611328,16.59000015258789,14.95624828338623,29.280000686645508,0.3876039981842041,119.73249053955078,34.1234016418457,3.5204877853393555,28.583520889282227
